Dept,CourseName,CourseNumber,Hours,GenEds,Prereqs,Description
English,The Writer's Voice,ENG 230,4 hours,Human Expression—Primary Texts,PAID 111 or transfer equivalent,"Literature invites us into experiences and worlds  both familiar and strange. This course introduces  students to the appreciation and analysis of  literature through close reading, discussing, and  writing about literary texts from renowned  classics to hidden gems. An introduction to the  English major, the course is open to any student  who wishes to cultivate perceptive reading and  writing while expanding his or her imaginative  world."
English,Film,ENG 231,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"Study of the varieties of film experience from documentaries to feature-length films, American and foreign. Practice in film analysis and criticism of current films based upon viewing, discussing, and writing about films. Emphasis upon acquiring knowledge and appreciation of the techniques by which filmmakers achieve their effects, rather than upon systematic study of film history."
English,Africana Women's Writing,ENG 240,4 hours,"Human Expression—Primary Texts, Intercultural",PAID 111 or transfer equivalent,"A study of writing by selected Africana women writers from Africa, the Caribbean, the United States and elsewhere in the African diaspora.  Topics may vary by geographic region or theme.  (Same as AFRS 240, WGST 240)"
English,Literature By Women,ENG 245,4 hours,Human Expression—Primary Texts,PAID 111 or transfer equivalent,"A study of how women writers from different historical periods use poems, stories, essays, and plays to address gender issues in the private and public world. The course looks at how literature both presents and critiques culture and its construction of gender, as well as how it offers new visions and choices for women and men. Readings include such writers as Mary Wollstonecraft, Charlotte Bronte, Emily Dickinson, Toni Morrison, Gloria Anzaldua, and Octavia Butler. (Same as WGST 245)"
English,Literature and Ecology,ENG 247,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"What kinds of stories help us confront, ignore, deny, or re-imagine the ecological challenges we face?  How do we use narratives and poetry to perceive and imagine ecosystems? And why do we think things like mountains, wind turbines, fjords, limestone, bonobos, the influenza virus, or snow-globes are beautiful or ugly, natural or unnatural?  This course explores how literature and other cultural texts shape the ways we think about and act in the biophysical world and the systems that comprise it.  Readings will vary but may come from traditions of nature writing; explorations of place, space, and time; connections between religion and ecology; relationships linking literature and science; and intersections of ecology and social issues like ability, class, gender, and race."
English,African-American Literature,ENG 251,4 hours,"Human Expression—Primary Texts, Intercultural",PAID 111 or equivalent,"A survey of African-American literature with special attention to the intersection of race, class, and gender as writers engage with the struggle to achieve the democratic promises of freedom, justice and equality. Primary emphasis will be on literature written since 1920 when the Harlem Renaissance began. Includes authors such as Frederick Douglass, Harriet Jacobs, Langston Hughes, Richard Wright, Zora Neale Hurston, Ralph Ellison, James Baldwin, Alice Walker, and Toni Morrison. (Same as AFRS 251, WGST 251)"
English,Shakespeare,ENG 260,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"For four centuries Shakespeare has been celebrated as the greatest writer in English. This course will help students more fully understand the power of his plays, both as literature for reading and scripts for performance. Reading plays in each major type (comedies, tragedies, and histories; typically seven to eight plays), we will explore such topics as language, moral vision, gender, politics, and historical context. Students will have the opportunity to explore their interpretations in writing and by staging a scene."
English,Shakespeare Performed,ENG 261,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"The study of approximately five representative Shakespeare plays, with special emphasis on the close analysis and public performance of one play.  All students will do analytical writing and will be involved in some aspect of the performance.  ENG 260 and 261 have common goals and both fufill the departmental ""Shakespeare"" requirement, but because of the two courses' differing emphases, students may earn credit for both courses.  Although students with previous experience in Shakespeare or acting are welcomed, the course is open to all students sophomore and above."
English,Tolkien and Lewis in Context,ENG 262,4 hours,"Human Expression—Primary Texts, Intercultural",PAID 111 and 112 or transfer equivalents,"J.R.R. Tolkien and C.S. Lewis, two of the most popular English writers of the 20th century, lived strangely parallel lives, and worked together to create mythologies of places where the sacred is threatened by the spread of evil.  Our travels will follow the lives of these two writers from childhoods in Northern Ireland and Warwickshire, to England's national center of London, to the battlefields of France, and to the universities they loved (Oxford and Cambridge) to see how the ideas of countryside, mechanization, disenchantment and religion, heroism, and humanity that figure in their work have their roots in the life experiences of each author."
English,Creative Writing: Poetry & Fiction II,ENG 312,4 hours,Human Expression,"PAID 111, 112 or transfer equivalents and ENG 212","An advanced-level course in the writing of poems and stories for students dedicated to making imaginative, emotional, and technical discoveries in the practice of their craft. Readings in contemporary poetry and fiction, as well as in-class exercises and student workshops."
English,"Rhetoric: History, Theory, Practice",ENG 314,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,A study of the origin and development of rhetoric. Readings in rhetorical theory and case studies of oral and written rhetorical discourse with an emphasis on written composition. Extensive analytical and persuasive writing.
English,Contemporary Literature,ENG 320,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"A study of significant works written since 1945, predominantly by British and/or American writers, in both poetry and prose. Readings trace the recent evolution and refinement of literary techniques and themes, with emphasis on the variety of aesthetic responses to contemporary culture and thought."
English,Young Adult Literature,ENG 334,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"Study of literature for young adults (ages 12-18), with emphasis on reading of representative fiction, creative nonfiction, and poetry.  Course also includes history of the genre, interpretive approaches to texts, resources, and materials for teaching.  Designed for teaching majors; useful for others working with young people."
English,American Frontiers: American Literature To 1860,ENG 352,4 hours,"Human Expression—Primary Texts, Historical",PAID 111 and 112 or transfer equivalents,"American writers since the very beginnings have inscribed the natural landscape and crossed frontiers of the human heart and soul.  We will explore these frontiers and the authors who transcend boundaries into uncharted space in stories of Spanish conquistadors and Native Americans; the narratives of English colonists, African-American slaves, and explorers Lewis and Clark; nature essays of Emerson and Thoreau, illustrated by the Hudson Valley School; poetry by Bradstreet, Wheatley, Whitman, and Dickinson; fiction by Hawthorne, Melville, and Beecher Stowe. Offered alternate years."
English,American Literature 1860 to the Present,ENG 353,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"An invitation to explore currents and crosscurrents, traditions and individual talents, movements and masterpieces from the Civil War era to the present.  Works will be chosen from a variety of genres, and course units may emphasize particular regions, periods, or themes, such as Southern voices (Faulkner, Hurston, Welty), the era of World War I (Hemingway, Cummings, Dos Passos), and feminist fiction and poetry (Kingston, Walker, Sexton). Offered alternate years."
English,American Novel,ENG 354,4 hours,Human Expression—Primary Texts,PAID 111 and 112 or transfer equivalents,"A study of major American novelists from the mid-19th century to the present, such as Melville, Stowe, Twain, Cather, Faulkner, and Morrison. Some attention is given to theoretical approaches to American literature."
English,Chaucer and Medieval Literature,ENG 361,4 hours,Human Expression—Primary Texts,Junior standing,"From heroes fighting monsters to Arthurian romances, medieval literature is best known for its stories of chivalry.  Less well-known but equally wonderful are the comic tales of sex in trees and greedy friars dividing a fart.  We will read Beowulf, narrative poems about love and adventure by Marie de France, the tale of Sir Gawain and the Green Knight, and much more, with in-depth attention to Chaucer's Canterbury Tales.(Same as WGST 361)"
English,Renaissance Literature,ENG 362,4 hours,Human Expression—Primary Texts,Junior standing,"English literature came into its own during the Renaissance, as Sidney, Spenser, and Raleigh courted Queen Elizabeth's favor through love poetry, and sonnets were all the vogue. The period also produced the counter-cultural poetry of Donne and Marvell, and profound religious lyrics of Herbert, and the golden age of Engish drama with the plays of Marlowe, Shakespeare, and Jonson. The course will explore this rich body of literature through both literary and cultural analysis, with options for a range of student writing. Offered alternate years."
English,Milton,ENG 363,4 hours,Human Expression—Primary Texts,Junior standing,"How could angels in Heaven and humans in Paradise rebel against the God who created the world and made it good?  Is it better to rule in Hell than serve in heaven?  What would it be like to live in Edenic bliss, anyway?  John Milton sought to answer those questions in Paradise Lost.  Second only to Shakespeare in its influence on later writers, Milton's work probes religion, politics, and gender in a remarkable melding of classical and Christian traditions.  We will read this epic, as well as other poems and prose in which Milton engaged the tumultuous events of the English civil wars and its aftermath."
English,Restoration and Eighteenth-Century British Literature,ENG 364,4 hours,"Human Expression—Primary Texts, Historical",Junior standing,"This course explores the range and variety of British literature written after the restoration of the British monarchy in 1660, and before the revolution in France in 1789.  Literary artists in this era produced innovative writing in several new genres, including journalism, travel writing, biography, satire, and the novel.  The literature of the 18th century was also a crucible for modern understandings of gender, race, and class identities.  In this course, we explore these literary developments within their historical contexts, aiming for a broad coverage of canonical and not-so-canonical texts.  Representative authors may include Dryden, Congreve, Behn, Swift, Pope, Johnson, Fielding, Burney, and Haywood. Offered alternate years."
English,"British Romanticism: Revolution, Nature, And the Imagination",ENG 365,4 hours,Human Expression—Primary Texts,Junior standing,"The era of the American and French revolutions profoundly affected England, inspiring cultural debates about slavery and women's roles, as well as new ways of looking at the natural world, human perception, imaginative creation, and the Gothic past.  We will study the cultural milieu and read such writers as Blake, Equiano, Burke, Wollstonecraft, Austen, William and Dorothy Wordsworth, Coleridge, Percy and Mary Shelley, Byron, and Keats.  Offered alternate years."
English,The Victorians,ENG 366,4 hours,Human Expression—Primary Texts,Junior standing,"The Victorians experienced cataclysmic changes in science, economics and industry, national identity, gender roles, and faith.  Novelists wrestled with these changes, chronicling the broad social world and the schisms that divided it. Poets of the period registered extremes of doubt, or returned to an idealized past, or looked forward to developments like the liberation of women.  Representative authors may include the Brontes, Dickens, George Eliot, Hardy, Tennyson, and Barrett Browning.  Offered alternate years."
English,Twentieth-Century British Literature,ENG 367,4 hours,Human Expression—Primary Texts,Junior standing,"Many Europeans braced themselves for the start of the 20th century, firm in their belief that it might augur the end of the world.  For thousands of soldiers slaughtered during the ""war to end all wars,"" it was.  Between World War I and II, British writers and Irish nationalists transformed the literary landscape with a radically new approach to language, form, and style.  Women writers explored new freedoms in sexuality and in their literary subjects.  In the second half of the century, novelists and poets confronted the legacy of economic reform, urbanism, and the remnants of British colonialism around the globe.  Readings might include writers such as Yeats, T.S. Eliot, Woolf, Forster, Katherine Mansfield, Jean Rhys, Ted Hughes, and Graham Greene.  Offered alternate years."
English,The British Novel,ENG 368,4 hours,Human Expression—Primary Texts,Junior standing,"In Northanger Abbey, Jane Austen's heroine remarks, ""The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."" In this course, we defy stupidity by enjoying a variety of good British novels, beginning with the eighteenth-century, and arriving, after many pages and multiple plot twists, in the modern era. We consider the history of the genre, the social and political context of the texts, and the development of the British literary tradition. Representative authors may include Burney, Fielding, Austen, Dickens, George Eliot, Thackeray, Conrad, and Woolf."
English,Seminar,ENG 485,4 hours,," Two courses from ENG 251, 352-354, 361-368.   ","An intensive, collaborative study of a selected period, movement, or writers, emphasizing the methods and assumptions of literary analysis and selected critical theories. The course format is student-initiated discussion and presentation, with significant independent projects and an oral presentation. Intended primarily for seniors. Students - especially those preparing for graduate school - are encouraged to complete more than one seminar."
English,Senior Project,ENG 490,"1, 2, or 4 hours",,,"Together with the required Senior Seminar, the Senior Project is the English major's culminating experience.  Projects build upon students' previous experience with scholarly research, creative writing, or the secondary education program. Students wishing to do a creative writing project are expected to complete the requirements for the English Writing Emphasis major. Ideally, these students would have completed the Writing Emphasis requirements and would have had coursework and sustained writing experience in the genre of their project. At a minimum, all students wishing to do a creative writing project must be completing their third writing course during the term in which a senior project will be submitted; students intending a creative nonfiction project must have completed ENG 210, 211, or 213; students intending a poetry or fiction project must have completed ENG 212, and must have completed or be completing ENG 312 during the term in which the senior project will be submitted.   Permission to register for a Senior Project will be given after submission of the application form available on the English department website. The application form also outlines the required oral presentation component. Registration ought to be completed during the semester preceding the semester in which the project is begun. The English department does not require students with more than one major to complete an English Senior Project."
Education,Clinical Experience I in the Schools,EDUC 185,4 hours,,,Seminars for first-year students offered each January term.
Education,Clinical Experience I in the Schools,EDUC 215,4 hours,,,"The clinical experience requires that students work as active and involved observer-aides under teachers in public/private area schools. Concentrated instruction in preparation for these duties plus seminars accompany the experience.  Seminars include the following topics: ethics, professionalism, an introduction to program competencies; and dispositions, including reflective practice. Students taking this course in January must complete application materials in the education department by October 1 to secure a placement for January term. Requires sophomore standing. First-year students are to enroll in EDUC 185 (first-year seminar) offered during January term."
Education,Educational Psychology,EDUC 220,4 hours,Human Behavior—Social Science Methods,EDUC 185 or 215 and PAID 112D,"This course is an introduction to the field of education and to educational psychology.  One of the central concerns of every society, education involves the study of human growth and development, especially in the context of schooling.  Students will encounter research into how humans learn, how learning environments are structured, and how underlying social assumptions intersect with learning theories.  The course will explore such topics as socialization, teacher/student interaction, social and cognitive learning theories, testing and assessment, and ethics and the school."
Education,The Diverse and Exceptional Learner,EDUC 221,4 hours,Human Behavior,EDUC 185 or 215 and PAID 112D,"This course introduces students to learner differences as they are related to culture, ethnicity, language, disability, gender, and socioeconomic status. Students will explore how these factors influence individual educational performance, experience and development in the institution of the school.  With a major emphasis on human intergroup relations in a pluralistic society, the course will also introduce students to significant legislation, models of service delivery, and instructional modifications."
Education,Instructional Strategies With Computer Applications: Elementary,EDUC 222,4 hours,,EDUC 185 or 215 and sophomore standing,"This course examines the use of behavioral objectives, lesson planning, testing, evaluation, classroom management, instructional techniques, learning theory applications, and instructional media in elementary education.  Course objectives are achieved through writing instruction and practice using conventional writing tools and computer applications. Requires sophomore standing."
Education,Children's Literature,EDUC 223,2 hours,,"EDUC 185 or 215,  PAID 112D (or equivalent) and sophomore standing",This course introduces the study of children's literature including promoting child development through literature and analyses of books in each genre. Requires sophomore standing.
Education,Introduction to Reading,EDUC 226,4 hours,,"EDUC 185 or 215, EDUC 220 and sophomore standing","Based on a synthesis of research identifying characteristics of highly effective reading teachers, this course focuses on seven pillars of effective reading instruction: teacher knowledge, classroom assessment, evidence-based teaching practices, response to intervention (RTI), motivation and engagement, technology and new literacies, and family & community connections. Special attention is paid to oral language acquisition, phonemic awareness, phonics and word identification, fluency, vocabulary, comprehension and reading assessment."
Education,Music Education Curriculum and Strategies,EDUC 232,2 hours,,"MUS 111, 121, or 131","Students will learn the origins of music curriculum, and fundamentals of instructional planning. Student will converse with school music educators, and examine their own experiences as music learners to begin framing their teacher identity. Students will begin their teaching portfolio."
Education,"Home, School, and Community",EDUC 240,2 hours,,EDUC 185 or 215 or sophomore standing,"This pre-K to 12 course examines the dynamic relationship between families, school, and the community. Evaluation, legal aspects, and services to preschool students with disabilities including the Individualized Family Service Plan (IFSP) will be explored. The course offers continued focus on collaborative team efforts and the importance of establishing strong links between home, school, and other service providers so the learning experiences of students from preschool through transition to the adult life are maximized."
Education,Introduction to Learning Disabilities and Behavioral Issues,EDUC 242,4 hours,,EDUC 185 or 215 or sophomore standing,"This K-12 introductory course includes a historical perspective to the field of learning disabilities and behavioral disorders. This course covers characteristics and etiology, definitions and identification procedures, treatment and intervention, instructional and behavioral methodologies, impact of the disability throughout the lifespan, and current issues in the field."
Education,Career/Vocational Assessment and Vocational Planning,EDUC 245,2 hours,,EDUC 185 or 215 or sophomore standing,"This K-12 course covers the assessment of career/vocational skills and interests, aspects of the Individuals with Disabilities Education Improvement Act (IDEIA) which specifically address transition, transition meetings, Individualized Education Programs (IEP), community-based instruction, and the school/community services and service providers who would be involved in student transition."
Education,Classroom Management and Collaboration,EDUC 246,4 hours,,EDUC 185 or 215 or sophomore standing,"This K-12 course is designed to help pre-service teachers create supportive and responsive classrooms. The topics covered include individual behavior plans, applied behavioral strategies, creating collaborative relationships, and implementing positive behavior supports."
Education,Introduction to Middle and High School 5-12 Methods,EDUC 252,2 hours,,EDUC 185 or 215,"An introduction to the general methods of secondary teaching. Such topics as objectives, planning, testing, evaluation, classroom management, instructional techniques, educational technology, media, and the inclusion of special education students in the regular classroom will be considered. Should be taken as close to EDUC 352 as possible. Required for certification in K-12 health and 5-12 secondary education areas. Not required of K-12 art, K-12 physical education, and K-12 music majors."
Education,Percussion Methods,EDUC 255,2 hours,,,"Methods and materials of teaching percussion instruments to elementary and secondary students. Includes knowledge of and proficiency with percussion instruments, pedagogy, materials, assessment and grading for individual and small group studio lessons. Required for instrumental music licensure."
Education,Brass Methods,EDUC 260,2 hours,,,"Methods and materials of teaching brass instruments to elementary and secondary students. Includes knowledge of and proficiency on brass instruments, pedagogy, materials, assessment and grading for individual and small group studio lessons. Required for instrumental music licensure."
Education,Double Reeds Methods,EDUC 265,2 hours,,,"Methods and materials of teaching double reed instruments to elementary and secondary students. Includes knowledge of and proficiency on double reed instruments, pedagogy, materials, assessment and grading for individual and small group studio lessons. Required for instrumental music licensure."
Education,String Methods,EDUC 270,2 hours,,,"Methods and materials of teaching bowed string instruments (violin, viola, cello and double bass) to elementary and secondary students. Includes knowledge of and proficiency on string instruments, pedagogy, materials, assessment and grading for individual and small-group studio lessons. Required for instrumental music licensure."
Education,"Flute, Clarinet and Saxophone Methods",EDUC 275,2 hours,,,"Methods and materials of teaching these instruments to elementary and secondary students. Includes knowledge of and proficiency on these instruments, pedagogy, materials, assessment and grading for individual and small group studio lessons. Required for instrumental music licensure."
Education,Clinical Experience II:Literacy in Elementary/Middle School,EDUC 321,1 hour,,Admittance to Teacher Educ Program and EDUC 326,"As a part of the elementary/middle school education sequence the student observes and teaches small and large groups of students in a classroom in the area of literacy. During the clinical experience the student develops and teaches a unit that documents the planning, teaching, assessment and reflection of literacy protocols. This course is co-requisite with EDUC 322 and is based in a public or private school for three weeks."
Education,Clinical Experience II: Mathematics in Elementary/Middle School,EDUC 322,1 hour,,Admittance to Teacher Educ Program and EDUC 325,"As a part of the elementary education methods sequence the student observes and teaches small and large groups of students in an elementary/middle school classroom. During the clinical experience, the student develops and teaches a unit that documents planning, teaching, assessment and reflection protocols in the area of mathematics. This course is co-requisite with EDUC 321 and is based in a public or private for three weeks."
Education,Teaching Methods for English Language Learners,EDUC 323,4 hours,,Admittance to Teacher Educ Program,"Basic introduction to historical and contemporary theories and methods of English as a second language instruction with an emphasis on methodologies for teaching reading, writing, listening and pronunciation skills within the context of content areas grounded in academic and social/cultural language goals."
Education,Assessment for English Language Learners,EDUC 324,2 hours,,Admittance to Teacher Educ Program,"This K-12 course is an introduction to assessment for English language learners including formal and informal tools, interpretation of assessment data, use of data to inform instruction, and the fundamental technical aspects of assessment."
Education,Elementary Mathematics Methods,EDUC 325,4 hours,,Admittance to Teacher Educ Program,"This course is an introduction to the pedology and curriculum of a NCTM standards-based mathematics program in the elementary/middle school. Using the content strands of statistics/probability, data analysis and number operations, the course includes planning, teaching, assessment, diagnosis and evaluation of student learning in mathematics. This course will present current best-practice, research-based instructional methods in mathematical processes, the use of technology in teaching/student learning and classroom management as it applies to mathematics."
Education,Elementary Language Arts Methods,EDUC 326,4 hours,,Admittance to Teacher Educ Program,"This course is an introduction to oral and written communication for the twenty-first century, the curriculum and pedagogy of a language arts program based on standards established by the International Reading Association and the National Council of Teachers of English, and the eight components of the language arts in the elementary classroom. It will include integration of the language arts (to include reading/literature, writing/grammar, speaking, viewing, listening and spelling), the use of technology in teaching language arts, and classroom management as it applies to language arts instruction.  The course utilizes a comprehensive approach that examines language acquisition and development.  It is also the writing-intensive course in the major."
Education,Elementary Social Studies Methods,EDUC 328,2 hours,,EDUC 329,This course is an introduction to the curriculum and pedagogy for social studies instruction based on the National Council of Social Studies Standards.  Ten thematic strands frame the instructional planning for elementary and middle level curriculum.  Students will develop competencies in specific social studies related skills and become acquainted with current directions and research in elementary social studies including instructional technology.  This course is designed to assist pre-service teachers in developing appropriate tools for teaching social studies using an interdisciplinary approach.
Education,Elementary Science Methods,EDUC 329,2 hours,,"EDUC 321, 322, 325, 326 and admittance to Teacher Education Program",This course is an introduction to the curriculum and pedagogy of a standards-based science program in the elementary school.  This course includes hands-on opportunities with the activities that support the inquiry of science as practiced in the elementary school classroom.
Education,Introduction to Early Childhood Education,EDUC 330,4 hours,,Admittance to Teacher Educ Program and EDUC 222. It is recommended that the student has completed or is taking EDUC 226 concurrently,"This course is an introduction to early childhood education: the history of the field; educational philosophies for the pre-kindergarten/kindergarten learner; and the developmentally appropriate curriculum in language arts, sciences, social sciences, and mathemathics.  Also included are assessment, and parent involvement programs. Recommended for all elementary education majors and required for all students for certification in kindergarten and early childhood education. It is recommended that the student has completed, or is taking, EDUC 226 concurrently."
Education,Early Childhood Education II,EDUC 331,2 hours,,Admittance to Teacher Educ Program and EDUC 330,"A review of the current research on curricular models, materials, and methodology in early childhood education. Particular attention given to research translation and implementation for working with infants and toddlers."
Education,The Middle School Learner,EDUC 332,4 hours,,Admittance to Teacher Educ Program,"Focuses on the growth and development of the middle school aged student, specifically addressing emotional, physical, social, and cognitive developmental characteristics. A particular emphasis placed on how these factors relate to success in the school setting and how teachers accommodate the learning characteristics of the middle school student. Includes a required practicum in the schools."
Education,Middle School Methods,EDUC 333,4 hours,,Admittance to Teacher Educ Program and EDUC 332,This course explores the cognitive and social development of early adolescents and how those lead to unique organizational structures in the middle grades. Methods of teaching designed to meet the diverse needs of middle school students are emphasized. Includes a required practicum in the schools.
Education,Methods and Strategies for Teaching Students With Learning Disabilities and Behavioral Issues,EDUC 344,4 hours,,"EDUC 242 and 366 (or 321 and 322), Admittance to Teacher Educ Program and junior standing","This course provides an exploration of various methods, techniques, and materials that are used in the education of students who have learning disabilities and behavioral issues in a variety of different settings including the general education classroom.  Methods and materials for instruction in mathematics, reading, written language, spoken language, social skills, listening skills, organizational skills, and skills to enhance life/career choices will be addressed. Must be taken during the junior-level methods course sequence."
Education,Assessment in Special and Remedial Education,EDUC 347,2 hours,,Admisson to Teacher Educ Program and junior standing,"This K-12 course is an introduction to the assessment process using specific protocols for formal assessment and instructional planning with a significant emphasis on literacy skill evaluation. The course covers basic technical aspects of assessment, special education legal guidelines, tiered interventions, ethics in assessment, and the interpretation of assessment data."
Education,Advanced Teaching Methods: Secondary,EDUC 352,2 hours,,Admission to Teacher Educ Program and EDUC 252,"Advanced study of secondary teaching methods for students seeking licensure in art, English, mathematics, science and social science.  Study of special methods used to teach the individual's major subject area.  Teaching methods and professional participation in one's academic discipline will be covered, as well as inclusion of special education students in a regular classroom and applications of technology. Must be taken prior to professional semester.  Required for certification in art, English, mathematics, science, and social sciences. EDUC 352 for art majors includes 40 practicum hours. Not required of health, physical education and music majors."
Education,Advanced Methods - World Languages,EDUC 353,"2, 4 hours",,Admission to Teacher Educ Program,"Advanced study of K-12 teaching methods for students seeking licensure in foreign languages. Teaching methods and professional participation in the language classroom will be covered, as well as inclusion of special education students in a regular classroom and applications of technology. World language methods prepares teachers for language instruction in kindergarten through high-school classrooms. Must be taken prior to professional semester."
Education,"Elementary School Art Content, Methods, and Assessment",EDUC 354,2 hours,,"ART 222, EDUC 185 or 215, and Admittance to Teacher Educ Program","Required for students pursuing K-12 Art Education certification or K-8 Art Endorsement, this course builds on theories introduced in Art 222.  Topics covered will include the teaching techniques, assessment strategies, and the development of curriculum as modeled by master elementary art teachers according to NAEA standards.  Emphasis will be placed on the exploration of age-appropriate materials and on differentiation strategies to meet the needs of diverse learners in the classroom.  The included practicum lab experience allows students to apply the theories and strategies being explored with elementary-aged students."
Education,Art Inside and Outside the Classroom: Art Education Methods for Secondary Students and Community-Based Arts Organizations,EDUC 355,4 hours,,EDUC 354,"Teaching methods and professional participation in the secondary art classroom, museums, and community-based arts organizations will be covered in this course, targeting the advanced study of secondary teaching methods for students seeking licensure in art education.  This course serves as an extension of the investigations begun in Educ 354 and Educ 366.  Examining current art education theory and pedagogy, topics will include:  planning meaningful and sequential lessons and units; deepened understanding of assessment strategies for students at various stages of artistic development; the inclusion of special education students in the general classroom; engaging diverse populations in the artistic process; and applying technology in the creation, examination, and pedagogy of art.  Emphasis is placed on creating developmentally appropriate art education curriculum in alignment with NAEA standards.  Must be taken prior to professional semester if seeking licensure, and includes practicum hours for students seeking K-12 art licensure or 5-12 Art Endorsement."
Education,Clinical Exp. in Mus Educ Clinical Experience in Music Education,EDUC 361,2 hours,,Admission to Teacher Educ Program and MUS 250,"This 100 hour clinical practicum is taken as part of the methods practicum sequence. Students work under the direction of a cooperating teacher and plan, teach, rehearse, and reflect on the teaching of music in a vocal/orchestra/band program at the elementary, middle/high school level. Course objectives are formulated from the core competencies of the teacher education program at Luther College.  Graded credit/no credit."
Education,Advanced Methods Clinical Placement,EDUC 366,2 hours,,"Admission to the Teacher Educ Program and EDUC 352, EDUC 353, PE 343, or HLTH 343","As a part of the secondary education methods course sequence, the student observes and teaches small and large groups of students in a public/private school classroom in the discipline. During the three-week practicum, the student develops and teaches a unit to document planning, teaching, assessment and reflection protocols. Note:  taken during the January Term, this course would meet the January II general graduation requirement, and if placed in a middle school classroom would meet the clinical requirement for the middle school endorsement."
Education,Advanced Teaching Methods II,EDUC 367,2 hours,,Admission to Teacher Educ Program and EDUC 366,"Continued study of advanced teaching methods for students seeking licensure in English, K-12 world languages, mathematics, science, social science, and health/physical education with special emphasis on analysis of best practice, methodological research and curriculum design within the respective content area.  This course builds on the content of EDUC 352 and the clinical appointment in EDUC 366 and must be taken prior to EDUC 486."
Education,Elementary General Music Methods And Lab,EDUC 371,4 hours,,Admission to the Teacher Education Program,"Survey of the K-5 general music program. Study of the music student, content, materials, and methods of instruction. Includes Orff and Kodaly approaches, technology, and classroom management. This course provides practical experience in elementary general music methods through a teaching partnership with area schools. Required of all music education minors."
Education,Middle School General Music Methods,EDUC 372,2 hours,,Admittance to the Teacher Education Program,"Study of the middle school learner and the content, materials, and methods of instruction in the middle school general music classroom. Includes technology and alternative ensembles as well as classroom management. Required of vocal music education minors only."
Education,Advanced Literacy:Assessment and Instructional Design for At Risk Readers,EDUC 376,2 hours,,Admittance to the Teacher Educ Program and EDUC 226,"This course will present constructs and protocols for the assessment, diagnosis and evaluation of student learning and literacy skills in the elementary/middle school classroom.  The course explores the developmental nature of the exceptional reader, including underachieving and gifted students.  It also examines: current research on learner characteristics, instructional approaches and best-practices in classroom assessment of reading skills, both formal and informal."
Education,Content Area Reading:Secondary/K-12 Art & PE,EDUC 377,2 hours,,Admittance to the Teacher Education Program,"Introduction to the teaching of reading in content areas for secondary and K-12 HPE and Art teachers; procedures used in recognizing content area reading problems, improving reading by developing literacy strategies in reading, writing, speaking, and listening.  Required for all students seeking secondary school licensure and students seeking health certification.  Students are strongly encouraged, but not yet required, to take a reading practicum while student teaching; a practicum in content area is required in several states."
Education,"Content Area Reading, Elementary/Middle School",EDUC 378,2 hours,,Admittance to Teacher Educ Program and EDUC 226,"Introduction to the teaching of reading in content areas for elementary and middle school; assessment in content area reading; improving content area literacy by developing strategies in reading, writing, speaking, and listening.  Required for elementary reading endorsement, middle school specialist, and ESL endorsement.  Requires acceptance into the Teacher Education Program."
Education,Content Area Reading: K-12 Music,EDUC 379,2 hours,,Admittance to the Teacher Education Program,"Introduction to the teaching of reading in content areas for K-12 teachers in music: assessment in content area reading; improving content area literacy by developing strategies in reading, writing, speaking, and listening.  Required for all Education K-12 Music Education minors.  Requires acceptance into the Teacher Education Program.  Students are strongly encouraged, but not yet required, to take the reading practicum while student teaching; a practicum in content area reading is required in several states."
Education,Practicum:Content Area Reading,EDUC 382,1 hour,,"EDUC 377 and 378, or 379","This course is 1-semester hour practicum component that is mandatory for elementary education majors.  This is a requirement in some other states for all teachers.  Check the state's licensure website.  If you are an elementary education major pursuing a reading endorsement, you will student teach in a reading classroom and will not take the practicum component.  Students are strongly encouraged,  but not yet required, to take the practicum while student teaching; a practicum in content area is required in several states."
Education,Middle School Choral Methods,EDUC 383,2 hours,,Admittance to the Teacher Education Program,"Study of the middle school learner in the choral classroom. Students learn choral literature, pedagogy with special emphasis on the changing voice, rehearsal planning, music literacy strategies, assessment, and rehearsal management techniques."
Education,Middle and High School Marching Band Methods,EDUC 384,2 hours,,Admittance to the Teacher Education Program,"This course examines the high school and middle school marching band program. Included are studies in marching philosophies, program organization, administration and student recruitment and retention. Students experience marching band instrumentation, unique marching equipment, field topography, terminology, marching drill charting tools and basic drill drawing. This class included a practicum with a local high school marching band."
Education,Middle and High School Jazz Methods,EDUC 385,2 hours,,Admittance to the Teacher Education Program,"This course explores the purposes of jazz education, a history of jazz and jazz education, types of jazz ensembles, instrumentations, recruitment and audition methods for the jazz program. Students will lean fundamentals of improvisation and to play the instruments of the rhythm section."
