Location,Name,Date,ID,Prize
Bucharest,HTC 2v2 Invitational by PGL,2017-05-13,2801,"$50,000"
,ESWC 2012 North America,2012-09-02,943,
,MSI Beat it! 2013 Middle East Qualifier,2013-10-07,1228,
"Sydney, Australia",ESL Australia &amp; NZ Championship Season 4 Finals,2017-08-20,3015,"$7,990"
South America (Online),Alienware Liga Pro Gamers Club - NOV/17,2017-11-23,3377,"$2,300"
,TECHLABS Minsk Qualifier,2013-05-05,1120,
,QuickShot Arena #17,2015-12-02,2048,
Online (NA),ECS Season 4 NA Promotion,2017-09-23,3058,
Asia,ZEN Esports Network League Season 1 Last Chance Qualifier,2017-02-24,2696,
,Americas Minor North America Closed Qualifier - PGL Major Krakow 2017,2017-05-13,2828,
,LevelDown Championship,2015-09-15,1940,
Online (EU),Binary Dragons Cup 7,2017-07-03,2977,"$3,000"
,ECS Season 2 EU Development League,2016-09-09,2419,
Online,Counter Pit League Season 2,2015-11-30,2042,
,GamePlan Weekend Tourney,2015-05-30,1786,
Online,DreamHack Open Tours 2017 Europe Open Qualifier,2017-04-01,2743,
Online,BETSCSGO CUP #1,2017-04-19,2809,"$5,000"
"Cluj-Napoca, Romania",DreamHack Open Cluj-Napoca 2015,2015-10-28,1617,"$250,000"
,EMS One Katowice UK National Finals,2014-02-10,1308,
Online (India),eXTREMESLAND 2017 India Open Qualifier,2017-08-26,3074,
,LVP Season 9 Division de Honor Sprint #2,2015-11-11,2011,
,ESL UK Community Challenge S2 Cup #1,2014-07-22,1431,
Bucharest,ROG Masters 2017 Romania Qualifier,2017-07-22,3012,
,NLAN 2013,2013-04-04,1100,
Online,Headshot Cup #2,2017-05-29,2886,"$2,500"
,BalkanTube Fest,2016-08-04,2354,
Online,Counter Pit League,2015-05-21,1768,"$50,000"
,QuickShot Arena #10,2015-10-07,1969,
,SLTV StarSeries V Finals,2013-04-04,1098,
,CS:GO AOC UK Challenge Winter #5 2014/15,2014-12-16,1586,
Online,QuickShot Arena #29,2016-11-09,2558,"$1,500"
"Valencia, Spain",DreamHack Open Valencia 2017,2017-07-13,2570,"$100,000"
Online,Polish Esport League,2017-07-06,2978,"$18,800"
,European Championship 2013,2013-10-02,1218,
Santa Ana,Esports Arena Showdown IV,2017-03-11,2680,"$3,200"
,RGN European Open II,2016-01-11,2105,
,Mad Catz Invitational,2013-08-12,1166,
,IGL 2016 - Grand Final,2016-11-20,2559,"$100,621"
Online (Denmark),eOddset POWER Fight Club #2,2017-11-21,3363,"$1,582"
Online,DreamHack Open Austin 2017 North America Open Qualifier,2017-03-25,2737,
,SL i-League S2 Europe Qualifier,2016-07-25,2329,
,FACEIT League EU Season 2,2014-09-03,1470,
,Swedish Championship 2013 Umeå pre-qual #2,2013-01-14,1044,
"Stockholm, Sweden",Fragbite Masters Season 4 Finals,2015-06-06,1673,"$60,000"
,CEVO Professional Season 8 Placement NA,2015-08-10,1849,
Online (China),SL i-League Invitational Shanghai 2017 China Qualifier,2017-09-18,3194,
Online,ROG MASTERS 2017 Russia Qualifier,2017-06-26,2962,
Online,Dust2.dk eOddset Masters #9 IWDK Edition,2017-04-19,2810,"$3,600"
,ESL UK Community Challenge S2 Cup #2,2014-07-29,1439,
,ESWC 2013 Denmark,2013-09-29,1213,
"Sydney, Australia",ZEN Esports Network League Season 1 Finals,2017-06-17,2884,"$37,184"
Online,DreamHack Masters Malmö 2016 Europe Open Qualifier #2,2016-03-19,2184,
"Manila Bay, Philippines",ROG MASTERS 2017 Asia-Pacific Regional Finals,2017-10-28,3240,
,CS Select #12,2015-05-16,1758,
Online (Asia),Infinite Challenge Cup Weekly #1,2017-05-26,2882,"$1,449"
"Las Vegas, Nevada, USA",ELEAGUE Road to Vegas,2016-01-07,2080,"$50,000"
Online (NA),ELEAGUE CS:GO Premier 2017 North America Qualifier,2017-08-26,3018,
,RGN Intercontinental II: NA,2015-03-22,1697,
Online,QuickShot Arena #28,2016-11-02,2549,"$1,500"
Online,Legend Series #1,2017-03-22,2741,"$1,404"
Online (EU),ESL Pro League Season 6 Europe,2017-08-22,2866,"$125,000"
"Krefeld, Germany",ESL Meisterschaft Summer 2017,2017-08-05,3063,"$4,700"
Online,DreamHack Regional Minor Championship Europe Closed Qualifier #2,2016-05-01,2235,
"London, United Kingdom",ECS Season 1 Finals,2016-06-24,2248,"$765,000"
Online,ROG MASTERS 2017 EMEA Qualifier,2017-08-15,3000,"$5,000"
,ESL One Cologne 2017 - North America Qualifier 1,2017-04-22,2793,
,ESL One Cologne 2015 EU pre-qualifier #1,2015-06-28,1826,
Madrid,ESL Masters Spain Spring 2017 Finals,2017-07-01,2954,"$18,415"
,ROG MASTERS 2017 Americas Main Qualifier,2017-08-08,3013,
,John Wick CS:GO Invitational,2014-10-23,1525,
"Sydney, Australia",CyberGamer Premier League Season 1,2013-03-22,1089,"$7,000"
,ESL Pro Series Germany Summer Season 2013,2013-08-13,1156,
,ESL Pro Series Germany Winter Season 2012,2012-10-02,982,
,RyuLAN 2013,2013-01-20,1047,
"Bangalore, India",eXTREMESLAND 2017 India Regional Finals,2017-09-23,3075,
,EPICENTER 2017 Europe Qualifier #2,2017-09-09,3145,
"Santa Ana, California, United States",iBUYPOWER Masters 2017,2017-11-11,3165,"$100,000"
,MSI Beat it! 2013 EU Shootout,2013-08-24,1180,
Online (Australia),AOC CyberGamer Premier League Championship 2017 Qualifier,2017-11-27,3388,
,TLP 2013 Qualifier,2013-06-09,1149,
,WCA 2016 Americas,2016-11-13,2575,"$26,390"
"Moscow, Russia",StarLadder Minor CIS - Cologne 2016,2016-04-28,2224,"$50,000"
,DreamHack Masters Las Vegas 2017 China Qualifier,0,2591,
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #4,2017-04-20,2814,"$1,500"
,Team Dignitas SCAN CS:GO UK Invitational,2014-07-27,1433,
"Helsinki, Finland",ROG MASTERS 2017 Nordic Qualifier,2017-08-05,2993,"$15,000"
,LanTrek 2014,2014-01-11,1284,
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #9,2017-07-21,3006,"$1,500"
,ESEA MDL Season 23 Europe,2016-11-17,2577,"$5,000"
,Razer CS:GO Challenge,2013-03-09,1080,
"Plovdiv, Bulgaria",e-Arena Plovdiv,2017-06-17,2925,"$2,800"
,SLTV StarSeries XI Finals,2014-10-18,1516,
Online,HLTV Xmas Cup 2016,2016-12-21,2630,$783
Online (EU),King of Nordic Season 9,2017-10-27,3312,
,ESWC 2015 Female,2015-07-11,1843,
,Swelder&apos;s Showmatch,2015-11-08,2005,
"Philadelphia, Pennsylvania, USA",Fragadelphia 6,2015-10-16,1982,"$10,000"
,BenQ All-Star Showmatch #7,2015-11-16,2018,
,ESL UK Community Challenge S2 Cup #4,2014-08-12,1450,
"Belgrade, Serbia",ESL South East Europe Championship Season 4 Finals,2016-11-26,2601,"$3,700"
Online (Denmark),Dust2.dk eOddset Masters #14,2017-10-17,3285,"$1,587"
,CS Select #9,2015-04-30,1739,
,ESL Pro League Winter 2014/15 German Qualifier,2014-11-14,1543,
"Kuala Lumpur ,Malaysia ",eXTREMESLAND 2017 Malaysia Qualifier,2017-09-24,3216,
Online (NA),DreamHack Open Valencia 2017 North America Open Qualifier,2017-06-24,2945,
Duisburg,ESL Meisterschaft Spring 2017 Finals,2017-05-06,2772,"$16,390"
,Adrenaline Cyber League,2016-08-04,2348,
,MPGL Season 8 Finals,0,2294,
Online (EU),Hellcase Cup 5,2017-06-13,2916,"$10,000"
,99Damage Arena #9,2015-06-06,1800,
,AnyKey Invitational 2016,2016-11-19,2597,"$10,000"
,SLTV StarSeries VIII Finals,2013-12-20,1279,
,CCS Kick-off Season,2015-03-17,1686,"$17,000"
,Areena #5 by ROCCAT,2014-10-04,1497,
Online,99Damage League Season 1,2015-08-25,1898,"$11,238"
Philadelphia,Fragadelphia 11 Online,2017-07-28,3023,"$2,750"
Europe (Online),FCDB Cup 2017 Open Qualifier,2017-10-29,3310,
Online (China),CS:GO Super League 2017 - Summer Season,2017-07-06,2981,
,Epsilan 11,2013-10-05,1225,
,Gamermag Open #1,2014-03-23,1336,
Online (South East Asia),DreamHack Masters Malmö 2017 Asia-Oceania Closed Qualifier,2017-06-23,2903,
,FACEIT League 2015 European Closed Qualifier,2015-01-18,1634,
,ECS Season 4 EU Development League Open Qualifier #1,2017-08-19,3051,
,FACEIT January Championship 2014,2014-01-23,1294,
"Metro Manila, Philippines",ROG MASTERS 2017 Philippines Qualifier,2017-08-19,3099,"$1,870"
"Madrid, Spain",LVP Season 9 Division de Honor Finals,2015-12-04,2053,
Online,WESG 2016 Denmark,2016-09-22,2334,
,ESL UK Community Challenge S1 Cup #1,2014-05-06,1361,
Online (Asia),91Lounge Cup #1,2017-08-15,3076,"$6,000"
"Bucharest, Romania",DreamHack ZOWIE Open Bucharest 2016,2016-09-16,2112,"$100,000"
,Copenhagen Games 2013 Qualifier,2013-03-28,1096,
Online (South America),WCA 2017 South America Qualifier #2,2017-08-27,2934,
São Paulo,Gamers Club Masters 2017,2017-07-28,3003,"$7,400"
,X-Kom Clash,0,2282,
,BenQ All-Star Showmatch #2,2014-11-17,1548,
Online,G:loot Cup Summer 2017 Qualifier 1,2017-07-27,3022,
"Quezon City, Philippines",Operation Havoc,2017-11-12,3346,"$1,716"
"Shanghai, China",eXTREMESLAND Asia Finals 2017,2017-10-19,2921,"$100,000"
Online (EU),DreamHack Masters Malmö 2017 Europe Closed Qualifier,2017-07-11,2900,
,99Damage Arena #5,2015-04-15,1717,
Online (EU),SL i-League Invitational Shanghai 2017 Europe Qualifier,2017-09-24,3219,
,Fragbite Masters 2014,2014-03-08,1332,
,CIS LAN Championship,2015-04-17,1722,
Online,WESG 2016 Sweden,2016-09-17,2443,
Online,LootBet Cup #1,2017-04-10,2780,"$2,000"
"Bucharest, Romania",Europe Minor - ELEAGUE Major 2018,2017-11-02,3251,"$50,000 + 2 spots at Main Qualifier"
Online (EU),DaddySkins Cup 1,2017-08-21,3105,"$3,000"
,RGN Winter Classic II,2016-01-12,2106,
"Columbus, Ohio, USA",CEVO Professional Season 8 Finals,2015-11-06,1853,"$150,000"
,ESL Pro Series Germany Winter 2013 Cup #2,2013-10-14,1239,
,Fragbite Masters 2013,2013-12-02,1266,
Online (China),H-Cup Season 1,2016-05-25,2263,
,iBUYPOWER Invitational Spring 2017,2017-04-01,2761,"$16,000"
Online,ESL One Cologne 2017 - Europe Qualifier 2,2017-04-29,2791,
Online,ECS Season 2 North America,2016-10-06,2494,
,ESL Pro League Winter 2014/15,2014-12-10,1575,
Online,SP Gaming Tournament #2,2017-03-15,2714,$500
,Romanian eSports Championship 4,2014-08-21,1455,
,ESL UK Premiership Season 1,2015-04-20,1727,
,HyperX CS:GO Clash,2015-06-20,1820,
Online,Razer Rising Stars South American League Qualifiers,2016-03-12,2170,
Slovenia,Gaming Paradise Inhouse Qualifier,2015-06-23,1815,
Online,Hellcase Cup 3,2017-03-25,2731,"$10,000"
,CS Select #10,2015-05-01,1740,
,PGL National Division Season 1 Finals,0,2218,
,ESL Pro Series France XIII,2014-12-17,1588,
,iBUYPOWER Invitational Fall 2016,2016-09-17,2441,"$16,000"
,Areena #3 by SteelSeries,2013-08-10,1172,
,xfunction Masters by hitbox,2014-12-21,1591,
"Helsinki, Finland",Assembly Winter 2016,2016-02-05,2102,
,E-sport-bets.com 3rd Anniversary Cup,2014-04-25,1351,
,Milan Games Week CSGO Final by Personal Gamer,0,2519,
,ELEAGUE Season 2 North America Open Qualifier #1,2016-09-10,2403,
,F3 Academy League,2014-06-26,1398,
,ESL A-Series Summer 2013,2013-04-14,1104,
Online,BlasterX INETKOX League Season 1,2016-05-25,2262,"$15,000"
Online,PGL Regional Minor Championship Europe - ELEAGUE Major 2017 - Qualifier 2,2016-10-20,2527,
,DreamHack Winter 2012,2012-11-22,1021,
"Cali, Colombia",TecnoLAN Pasarela 2015 LAN Finals,2015-12-04,2052,
,FACEIT League 2015 European Qualifier #2,2015-01-18,1633,
,IEM Oakland 2017 Europe Closed Qualifier,2017-10-02,3137,
,D!ngIT CS:GO $1000 Invitational,2015-04-18,1725,
,Insomnia 58,0,2392,
"Paris, France",ESWC 2016 Female,2016-10-29,2534,"$15,000"
Online,DreamHack Open Cluj-Napoca 2015 EU pre-qualifier #2,2015-09-12,1915,
,Copenhagen Games 2015 female,2015-04-03,1710,
Online,DreamHack Masters Malmö 2016 Asia Closed Qualifier,2016-03-13,2172,
São Paulo,XLG UOL Super Cup,2016-12-01,2605,
Online (Ukraine),WESG 2017 Ukraine,2017-09-26,3220,
"Cologne, Germany",ESL ESEA Pro League Season 1 Finals,2015-07-02,1753,"$250,000"
,xfunction Masters Season II,2015-03-29,1706,
,EB Expo Sydney 2016 Qualifier #4,0,2427,
,ROG MASTERS 2017 Nordic Open Qualifier 2,2017-07-20,2992,
Online (Europe),ESL South East Europe Championship Season 6,2017-11-25,3381,
,ELEAGUE Season 2 Europe Open Qualifier #1,2016-09-03,2399,
Online (Denmark),Dust2.dk eOddset Final 4 #1,2017-08-30,3111,"$3,164"
,The Nordic Games #1 Finnish qualifier,2013-01-16,1045,
,CEVO Main Season 11 Europe,2017-01-25,2664,"$10,000"
,FACEIT League 2015 Stage 3 EU Open pre-qualifier #2,2015-08-30,1910,
Online (Finland),Philips OneBlade Cup 2017 Finnish Qualifier,2017-10-16,3287,
,ESWC 2012 France,2012-11-01,1007,
,CEVO Main Season 3,2014-01-28,1298,
,King of Majors,2015-02-16,1657,"$15,000"
"Columbus, Ohio, United States",CEVO Professional Season 6 LAN Finals,2015-04-13,1670,"$11,770"
,AlienTech CS:GO TiTans I Finals,2015-10-24,1989,
,FACEIT League 2015 Stage 3 EU Open pre-qualifier #1,2015-08-29,1908,
,Vox Play Battlegrounds,2014-06-01,1375,
"Minsk, Belarus",SL i-League StarSeries XIV Finals,2016-01-13,1978,"$200,000"
,WinOut.net 20k Qualifier #1,2015-07-23,1852,
,ESEA Open Season 22 South Africa,2016-08-08,2365,$1750
,ESL Sommermeisterschaft 2015 Finals,2015-08-09,1879,
Online (Denmark),Nordic Championship Season 2 Denmark Qualifier,2017-10-21,3278,
Online,Asia Minor China Qualifier - PGL Major Krakow 2017,2017-05-12,2850,
,CS Forever: London,2014-02-28,1322,
Online,RGN Pro Series II EU Closed Qualifier,2016-05-17,2255,
,Gaming.dk League by SteelSeries Season 5 Finals,2013-02-14,1057,
Online (NA &amp; EU),CEVO Gfinity Professional Season 9,2016-02-18,2152,
Online,Liga PRO GamersClub - JAN/17,2017-02-07,2682,$800
Online (Asia),ZEN League Season 2 Asia Closed Qualifier,2017-09-05,3159,
Shenzhen,China Top 2016,2016-12-16,2613,"$145,421"
Reykjavík,Tuddinn LAN 1 | 2017,2017-01-15,2651,"$3,080"
,CS:GO Legends Series #1,2014-09-01,1466,
Online,Binary Dragons Cup 2,2016-03-06,2163,"$2,000"
Online,Douyu CS:GO Asia Invitational #2 Wild Card,2017-10-16,3286,"$1,512"
,ESL India Premiership 2016 Masters,0,2614,
"Coventry, England, United Kingdom",Insomnia 54,2015-04-03,1667,"$15,300"
Online,ECS Season 3 EU Development League Open Qualifier #2,2017-02-26,2691,
,EuroGamersOnline Ozone Challenge,2013-12-24,1281,
,Millenium Showmatch #2,2014-10-07,1509,
"Beijing, China",NEA 2016 Finals ,2016-07-01,2288,
,IEM Taipei 2016 East Asia Qualifier,2016-01-17,2116,
,China-Korea e-Sports Competition,0,2632,
,EsportFest 2015,2015-03-28,1704,
,ESWC 2014 France Vakarm.net pre-qual #2,2014-09-28,1495,
,Insomnia 51,2014-04-20,1348,
,CyberGamer Intermediate Season 9 Finals,2016-12-10,2615,"$1,890"
Online,D!ngIT Fareast Asia Invitational Season 2,2016-02-15,2144,"$2,500"
,MČR 2014,2014-10-04,1504,
,DreamHack Winter 2012 International Qual.,2012-11-12,1012,
,ESL Pro Series Germany Winter 2014,2014-11-10,1536,
,DreamHack ZOWIE Open Summer 2016 Open Qualifier #2,2016-06-04,2275,$0
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #2,2017-03-14,2719,"$1,500"
Uppsala,BirdieLAN 27,2017-05-27,2885,"$10,155"
São Paulo,Intel Gaming Challenge,2016-09-29,2478,"$3,077"
,World Championships 2015 African Qualifier,2015-08-10,1880,
,QuickShot Arena #18,2015-12-09,2061,
"Beijing, China",WCA Season 1 APAC Finals,2016-05-18,2240,
"Seoul, Korea",VSL Season 2,2016-09-25,2434,"$9,000"
,D!ngIT $2000 Weekly Cup #1,2015-05-22,1769,
,99Damage Arena #14,2015-09-13,1932,
Online,WESG 2016 Central Europe,2016-09-28,2464,
,CyberGamer Oceania Esports Masters,2016-07-03,2301,
"Ha Noi, Vietnam",IeSF 2017 Vietnam Qualifier,2017-08-28,3127,
,EMS One Katowice CIS Qualifier Cup #2,2014-01-22,1292,
,PGL Season 1 NA Qualifier,2015-08-09,1877,
,Go4CS:GO Cup #6,2012-09-13,965,
,RGN Pro Series NA Closed Qualifier,2015-06-03,1766,
Online,Yoggi Yalla Cup 2017 - Qualifier 5,2017-04-24,2829,"$1,395"
Online (Europe),Vreecase Cup #2,2017-10-30,3320,"$5,000"
,ECS Season 3 EU Promotion,2017-03-26,2726,
Online,LOG Cup #2 2017,2017-03-06,2708,"$2,000"
"Stockholm, Sweden",Dustin March Madness 2015,2015-03-28,1703,"$10,000"
,SteelSeries GO 2012,2012-08-25,958,
,ESL One Cologne 2014 South-East pre-qualifier,2014-07-14,1419,
,iBUYPOWER Invitational,2015-02-28,1658,"$5,000"
"Tokyo, Japan",eXTREMESLAND 2017 Japan Regional Finals,2017-09-16,3010,
Online,Yoggi Yalla Cup 2017 - Qualifier 7,2017-05-22,2875,"$1,395"
,Game Show CS:GO League Season 2,2015-02-23,1671,
"Hyderabad, India",ESL India Premiership 2017 Fall Finals,2017-10-12,3242,"$10,355"
"London, United Kingdom",DreamHack Open London 2015,2015-09-19,1763,"$40,000"
Online,QuickShot Arena #31,2016-11-23,2600,"$1,500"
Online,WESG 2017 Northern South America,2017-11-14,3331,
,THOR Open Qualifier #6,2012-11-19,1019,
,SLTV StarSeries VII Finals,2013-10-10,1231,
,Go4CS:GO Europe Pro League Winter 2014 Group Final,2014-11-24,1560,
Online,Farmskins Championship #1 Closed Qualifier,2017-05-23,2871,
,1Life Fraglider Invitational,2014-04-26,1349,
,FACEIT Cup October 2013,2013-11-13,1261,
Online,ECS Season 2 Europe,2016-10-09,2495,
,iGame.com Winter Invitational,2017-01-30,2671,"$10,000"
,ECS Season 4 EU Development League Open Qualifier #2,2017-08-23,3052,
,ESL South East Europe Championship Season 1,2015-04-16,1720,
Australia,ESL Australia &amp; NZ Championship Season 3,2017-02-26,2674,
Online,Yoggi Yalla Cup 2017 - Qualifier 2,2017-04-03,2770,"$1,395"
,IGL Summer Lan Final,2016-10-16,2523,
Online,Rising Stars CIS #1,2016-01-26,2126,"$3,000"
Online,StarLadder Regional Minor Championship CIS #2 Closed Qualifier,2016-04-20,2221,
,Caseking of the Hill #9,2014-09-24,1491,
"Sydney, Australia",ZEN Esports Network League Season 1 ANZ Offline Qualifier,2017-01-13,2627,
,Play It Cool CS:GO Community Challenge,2015-12-19,2088,
Online,Born To Win Invitational League #1,2016-02-20,2153,"$2,000"
,STARSLeague,2015-11-12,2012,
Leicester,ESL UK Premiership Spring 2017 Finals,2017-03-18,2734,"$5,580"
,D!ngIT Sunday Brawl,2015-10-04,1966,
Online (EU),DreamHack Masters Malmö 2017 Europe Open Qualifier,2017-07-09,2899,
,MLG X Games Championship Qualifier #2 Europe,2014-12-21,1594,
,ESL Pro League Season 5 Europe Relegation,2017-05-16,2796,
,Operation: Kinguin #2 Closed Qualifier,2016-01-13,2111,
,DreamHack ZOWIE Open Summer 2016 Closed Qualifier #1 ,2016-05-29,2271,$0
Online,Europe Minor Qualifier 3 - PGL Major Krakow 2017,2017-05-09,2820,
,ESL South East Europe Championship Season 2 Finals,2015-11-28,2037,
,MSI Beat it! 2013 APAC Qualifier,2013-10-11,1235,
"Selangor, Malaysia",ROG MASTERS 2017 Malaysia Regional Finals,2017-09-16,3193,
Online,Dust2.dk eOddset #2,2016-09-18,2444,"$1,875"
"Cologne, Germany",ESL Pro League Winter 2014/15 Finals,2015-04-10,1702,"$48,000"
,FACEIT SEA Launch Cup,2015-06-05,1798,
,IeSF 2017 Italy Qualifier,2017-09-17,3192,
"Paris, France",ESWC 2016,2016-10-27,2340,"$75,000"
Online (Sweden),Nordic Championship Season 2 Sweden Qualifier,2017-10-21,3277,
,FACEIT North American Championship,2014-07-28,1436,
,Copenhagen Games 2014,2014-04-18,1345,
,Milan Games Week 2015 League by FACEIT Finals,2015-10-25,1991,
,Insomnia 55,2015-08-30,1909,
"São Paulo, Brazil",WESG 2016 North &amp; South Americas Regional Finals,2016-10-21,2452,"$75,000"
Online,Fragbite Masters Season 5,2015-10-05,1928,
,IN League Season 1,2013-03-06,1063,
"Madrid, Spain",ROG MASTERS 2017 Spain Open Qualifier,2017-06-25,2939,
Adelaide,Australian Esports Masters Season 1 Finals,2017-07-01,2893,"$6,705"
"Katowice, Poland",ESEA Season 22 MDL Global Challenge,2016-08-27,2350,"$50,000"
,SoStronk KOTH Asia #1,2015-11-04,1999,
,ESEA Premier Season 22 Europe,2016-08-04,2353,$5000
"Stockholm, Sweden",Fragbite Masters Champions Showdown,2015-09-05,1907,"$11,820"
Online,Philips OneBlade Cup 2017 Final Qualifier,2017-11-06,3341,
,Uprise Champions Cup Season 4 Pre-Qualifier,2015-12-21,2091,
Online,Game On: CSGOCIRCLE.COM Invitational,2016-02-15,2146,"$1,000"
Online (Australia),CyberGamer Intermediate Season 12 Finals,2017-11-06,3345,"$2,125"
"Jönköping, Sweden",DreamHack ZOWIE Open Summer 2016,2016-06-18,2109,"$100,000"
,RaidCall EMS One Fall 2013 Cup #2,2013-09-10,1197,
,ESEA Invite Season 13 All-Star,2013-04-20,1107,
"Bangkok, Thailand",GEXT Thailand 2017 Finals,2017-09-16,3081,"$2,850"
Peine,Playing Ducks HomeMasters 2,2017-05-20,2774,"$3,292"
Online,eSportsArcadeTV Cup,2016-12-06,2608,"$5,000"
Australia,Acer CyberGamer Premier League Autumn 2017 FFYI Qualifier,2017-01-11,2647,
Online,PGL KeSPA Minor SEA Qualifier,2016-04-14,2216,
,Epsilan 10,2013-02-03,1052,
East Asia,ZEN Esports Network League Season 1 East-Asia Qualifier,2017-01-30,2669,
,FACEIT Cup August 2013,2013-09-09,1195,
"Burbank &amp; Oakland, California, USA",IEM Oakland 2017,2017-11-14,2956,"$300,000"
,CS Select #22,2015-08-11,1883,
Online (EU &amp; CIS),Stream.me Gauntlet: CIS vs EU #6,2017-05-23,2874,"$1,500"
Online (Poland),CSBETGO CUP #1,2017-08-26,3120,"$4,000"
,DreamHack Valencia 2014 qualifier,2014-07-17,1425,
,D!ngIT $2000 Weekly Cup #29,2015-12-07,2047,
"Columbus, Ohio, USA",CEVO Professional Season 7 Finals,2015-07-24,1715,"$117,000"
,Telkom Gaming CS:GO Championships 2014,2014-10-11,1514,
"Riga, Latvia",Zowie GOEXANIMO CS:GO 5x5 #4,2017-08-12,3082,$950
,HKLAN 2013,2013-02-15,1060,
,ESL One Cologne 2014,2014-08-14,1444,"$250,000"
Online (Peru),WESG 2017 Peru,2017-11-13,3330,
Online,DreamHack Masters Malmö 2016 NA Closed Qualifier,2016-02-21,2155,
,SLTV StarSeries IX,2014-02-28,1317,
,ESL Pro Series Poland Season 8 Finals,2014-07-06,1411,
,Crown Invitational - Aus Qualifier,2015-10-09,1971,
"Sofia, Bulgaria",Game Evolution,2016-09-11,2389,"$4,000"
Online,DreamHack Open Tours 2017 North America Open Qualifier,2017-04-01,2745,
Online (NA &amp; EU),ESL Pro League Season 3,2016-02-09,2124,
,DreamHack Winter 2012 Danish Qual.,2012-11-11,1011,
,ESEA Invite Season 12 Finals,2012-11-18,1017,
"Krefeld, Germany",ROG MASTERS 2017 EMEA Finals,2017-10-14,3183,
,ACL Sydney 2015,2015-06-27,1824,
,Operation: Kinguin,2015-12-14,2075,
Online (China),Infinite Challenge Cup Weekly #4,2017-06-19,2922,"$1,449"
,Game Ninja 2016,0,2244,
Australia,CyberGamer Pro League Season 2 Winter Finals,2014-10-18,1518,
,epic.TWELVE,2014-02-16,1314,
,EPICENTER 2017 Europe Qualifier #1,2017-09-02,3144,
"Cape Town, South Africa",Telkom DGL Masters 2016 Cape Town,2016-03-18,2166,
"Sydney, Australia",IeSF 2017 Australian Finals,2017-09-16,3181,
,ESEA Premier Season 22 North America,2016-08-04,2352,$5000
,RGN Pro Series II NA Closed Qualifier,0,1635,
,FACEIT Cup May 2013,2013-05-30,1144,
,Vox Play #1,2014-04-13,1344,
,GameAgentsTV Showmatch #2,2014-12-04,1571,
Online,QuickShot Arena #23,2016-09-21,2451,"$1,500"
,RaidCall EMS One Spring 2013 Cup #1,2013-02-13,1058,
Vilnius,Game Show Open Season 4 Playoffs,2016-07-09,2308,
Online (CIS),Vreecase Cup #1,2017-09-06,3162,"$2,000"
,D!ngIT $2000 Weekly Cup #10,2015-07-27,1855,
,Tuddinn LAN 1 | 2016,2016-01-10,2103,
,ESL One Katowice 2015 NA Qualifier,2015-02-04,1650,
,coL 10th Anniversary,2013-11-10,1259,
,Fragbite Masters Season 3,2014-10-01,1500,
Online,iBUYPOWER Invitational Fall 2015,2015-09-12,1916,"$15,000"
"Minsk, Belarus",FCDB Cup 2017,2017-11-25,3224,"$40,000"
Online,Liga TyC Sports Aorus #1,2017-07-17,3005,
,ESEA Invite Season 17 Europe,2014-08-07,1428,
,CS Select #19,2015-07-10,1841,
,RGN Pro Series EU,2015-05-18,1761,
Online,Europe Minor Qualifier 1 - PGL Major Krakow 2017,2017-04-28,2818,
,CS Select #16,2015-05-30,1782,
"Reykjavik, Iceland",Tuddinn Spring 2017 LAN Finals,2017-06-23,2960,"$1,750"
"Beijing, China",Fulcrum Gamers League Finals,2016-01-08,2056,"$15,000"
,ESL One Cologne 2015 East Asia pre-qualifier,2015-07-04,1834,
,H-Cup Season 2,0,2290,
Online,Rising Tornado #4,2015-08-26,1900,$500
Online,Dust2.dk eOddset Masters #10,2017-05-23,2878,"$1,500"
,Azubu.tv Showmatch,2015-10-16,1980,
Online,WESG 2016 Central Asia,2016-09-20,2446,
,FACEIT Oceanic Invitational,2014-12-14,1581,
,EPICENTER 2017 CIS Qualifier #1,2017-09-02,3146,
Online (CIS),St. Petersburg Governor&apos;s Cup Closed Qualifier,2017-10-18,3296,
,Game On European Invitational,2015-12-14,2079,
"Seoul, South Korea",ROG MASTERS 2017 Korea Qualifier,2017-08-08,3067,"$8,880"
Online,LOG Cup #1 2017,2017-01-30,2670,"$1,500"
,WESG 2016 Japan,0,2515,
Online,SL i-League Season 3 Europe Qualifier,2017-02-10,2687,
,ESL Pro Series Germany Spring Season 2013,2013-02-19,1068,
"Malmö, Sweden",DreamHack Masters Malmö 2017,2017-08-30,2684,"$250,000"
Online (SEA),PGL eGG Minor SEA Qualifier,2016-10-12,2505,
,CyberGamer Intermediate Season 8 Finals,2016-08-30,2414,"$1,890"
Online (MENA),WCA 2017 Middle-East &amp; North Africa Qualifier,2017-09-27,3226,
,IzakTV Summer Cup,2015-07-22,1850,
,Voronezh Cup 2014,2014-04-12,1343,
"Ulaanbaatar, Mongolia",WCA 2017 Mongolian Qualifier,2017-10-14,3282,$163
,PGL eGG Minor East Asia Qualifier,0,2506,
,Pasino Gaming Days 2017 by LanEx,0,2689,
"Husum, Germany",NGC Masters 2017,2017-10-05,3101,"$17,585"
Espírito Santo,Experience League 2017,2017-11-05,3338,"$4,860"
,QuickShot Arena #11,2015-10-21,1984,
